4.22; 86.881
4.23; 88.3132
4.24; 89.784
4.25; 91.2891
4.26; 92.824
4.27; 94.3844
4.28; 95.966
4.29; 97.5643
4.3; 99.175
4.31; 100.794
4.32; 102.416
4.33; 104.038
4.34; 105.654
4.35; 107.261
4.36; 108.854
4.37; 110.429
4.38; 111.981
4.39; 113.506
4.4; 115
4.4; 115
4.41; 116.459
4.42; 117.883
4.43; 119.273
4.44; 120.63
4.45; 121.955
4.46; 123.249
4.47; 124.512
4.48; 125.746
4.49; 126.951
4.5; 128.128
4.51; 129.279
4.52; 130.403
4.53; 131.503
4.54; 132.579
4.55; 133.631
4.56; 134.661
4.57; 135.669
4.58; 136.657
4.59; 137.625
4.6; 138.575
4.61; 139.507
4.62; 140.421
4.63; 141.32
4.64; 142.203
4.65; 143.072
4.66; 143.928
4.67; 144.771
4.68; 145.603
4.69; 146.423
4.7; 147.234
4.71; 148.036
4.72; 148.83
4.73; 149.617
4.74; 150.398
4.75; 151.173
4.76; 151.944
4.77; 152.711
4.78; 153.475
4.79; 154.238
4.8; 155
5.2; 91
5.21; 88.6426
5.22; 86.289
5.23; 83.943
5.24; 81.6083
5.25; 79.2888
5.26; 76.9881
5.27; 74.7101
5.28; 72.4586
5.29; 70.2373
5.3; 68.05
5.31; 65.9005
5.32; 63.7926
5.33; 61.7301
5.34; 59.7167
5.35; 57.7563
5.36; 55.8525
5.37; 54.0092
5.38; 52.2302
5.39; 50.5192
5.4; 48.88
5.41; 47.3164
5.42; 45.8322
5.43; 44.4312
5.44; 43.1171
5.45; 41.8938
5.46; 40.7649
5.47; 39.7343
5.48; 38.8058
5.49; 37.9831
5.5; 37.27
5.51; 36.6703
5.52; 36.1878
5.53; 35.8263
5.54; 35.5895
5.55; 35.4813
5.56; 35.5053
5.57; 35.6654
5.58; 35.9654
5.59; 36.409
5.6; 37
5.6; 37
5.61; 37.7414
5.62; 38.6327
5.63; 39.6727
5.64; 40.86
5.65; 42.1934
5.66; 43.6717
5.67; 45.2935
5.68; 47.0576
5.69; 48.9627
5.7; 51.0075
5.71; 53.1908
5.72; 55.5112
5.73; 57.9675
5.74; 60.5585
5.75; 63.2828
5.76; 66.1392
5.77; 69.1264
5.78; 72.2431
5.79; 75.4881
5.8; 78.86
5.81; 82.3576
5.82; 85.9797
5.83; 89.7249
5.84; 93.592
5.85; 97.5797
5.86; 101.687
5.87; 105.912
5.88; 110.254
5.89; 114.711
5.9; 119.282
5.91; 123.967
5.92; 128.763
5.93; 133.67
5.94; 138.685
5.95; 143.809
5.96; 149.039
5.97; 154.375
5.98; 159.814
5.99; 165.356
6; 171
